<PRE>                                                                                      
                                                                 Fant             Fant
Rk                    Player FantPt Season Age Team G GS FantPt   PPR FantPt PPR/G Pos
23              Kyler Murray   62.5   2025  28  ARI 4  4   62.5  62.5  15.63 15.63  QB
24            Travis Etienne   60.6   2025  26  JAX 4  4   60.6  66.6  15.15 16.65  RB
25             Justin Fields   60.6   2025  26  NYJ 3  3   60.6  60.6  20.20 20.20  QB
26          Javonte Williams   60.6   2025  25  DAL 4  4   60.6  76.6  15.15 19.15  RB
27             Aaron Rodgers   60.5   2025  42  PIT 4  4   60.5  60.5  15.13 15.13  QB
28               Rome Odunze   59.6   2025  23  CHI 4  4   59.6  79.6  14.90 19.90  WR
29              Jahmyr Gibbs   59.0   2025  23  DET 4  4   59.0  79.0  14.75 19.75  RB
30           Spencer Rattler   58.8   2025  25  NOR 4  4   58.8  58.8  14.70 14.70  QB
31          Quentin Johnston   57.5   2025  24  LAC 4  4   57.5  79.5  14.38 19.88  WR
32                 Mac Jones   57.2   2025  27  SFO 3  3   57.2  57.2  19.07 19.07  QB
33              DeVon Achane   56.9   2025  24  MIA 4  4   56.9  75.9  14.23 18.98  RB
34                Geno Smith   56.5   2025  35  LVR 4  4   56.5  56.5  14.13 14.13  QB
35               Sam Darnold   54.0   2025  28  SEA 4  4   54.0  54.0  13.50 13.50  QB
36            George Pickens   54.0   2025  24  DAL 4  4   54.0  75.0  13.50 18.75  WR
37             Davante Adams   53.7   2025  33  LAR 5  5   53.7  75.7  10.74 15.14  WR
38              Emeka Egbuka   53.1   2025  23  TAM 4  4   53.1  71.1  13.28 17.78  WR
39              Bucky Irving   53.0   2025  23  TAM 4  4   53.0  72.0  13.25 18.00  RB
40           Spencer Shrader   53.0   2025  26  IND 4  0   53.0  53.0  13.25 13.25   K
41               C.J. Stroud   52.5   2025  24  HOU 4  4   52.5  52.5  13.13 13.13  QB
42            Tua Tagovailoa   52.4   2025  27  MIA 4  4   52.4  52.4  13.10 13.10  QB
43             Ashton Jeanty   52.2   2025  22  LVR 4  4   52.2  59.2  13.05 14.80  RB
44              J.K. Dobbins   52.1   2025  27  DEN 4  3   52.1  57.1  13.03 14.28  RB
45             Michael Penix   51.8   2025  25  ATL 4  4   51.8  51.8  12.95 12.95  QB
46               Bryce Young   51.4   2025  24  CAR 4  4   51.4  51.4  12.85 12.85  QB
47           Omarion Hampton   50.0   2025  22  LAC 4  4   50.0  64.0  12.50 16.00  RB
48            Garrett Wilson   49.1   2025  25  NYJ 4  4   49.1  76.1  12.28 19.03  WR
49           Trevor Lawrence   49.0   2025  26  JAX 4  4   49.0  49.0  12.25 12.25  QB
50            Saquon Barkley   48.7   2025  28  PHI 4  4   48.7  62.7  12.18 15.68  RB
51                Tre Tucker   48.4   2025  24  LVR 4  4   48.4  63.4  12.10 15.85  WR
52        Kenneth Walker III   48.2   2025  25  SEA 4  4   48.2  54.2  12.05 13.55  RB
53            Russell Wilson   46.8   2025  37  NYG 4  3   46.8  46.8  11.70 11.70  QB
54            Brandon Aubrey   46.0   2025  30  DAL 4  0   46.0  46.0  11.50 11.50   K
55             Derrick Henry   46.0   2025  31  BAL 4  4   46.0  50.0  11.50 12.50  RB
56          David Montgomery   46.0   2025  28  DET 4  0   46.0  52.0  11.50 13.00  RB
57        Jaxon Smith-Njigba   45.3   2025  23  SEA 4  4   45.3  71.3  11.33 17.83  WR
58               Jason Myers   45.0   2025  34  SEA 4  0   45.0  45.0  11.25 11.25   K
59          Courtland Sutton   44.6   2025  30  DEN 4  4   44.6  62.6  11.15 15.65  WR
60              D.K. Metcalf   44.1   2025  28  PIT 4  4   44.1  59.1  11.03 14.78  WR
61             Chuba Hubbard   43.1   2025  26  CAR 4  4   43.1  56.1  10.78 14.03  RB
62           Harrison Butker   43.0   2025  30  KAN 4  0   43.0  43.0  10.75 10.75   K
63          Chase McLaughlin   43.0   2025  29  TAM 4  0   43.0  43.0  10.75 10.75   K
64              Eddy Pineiro   43.0   2025  30  SFO 4  0   43.0  43.0  10.75 10.75   K
65              Deebo Samuel   43.0   2025  29  WAS 4  1   43.0  65.0  10.75 16.25  WR
66              Jordan Mason   42.1   2025  26  MIN 4  2   42.1  48.1  10.53 12.03  RB
67               Romeo Doubs   41.9   2025  25  GNB 4  4   41.9  54.9  10.48 13.73  WR
68              Cam Skattebo   41.9   2025  23  NYG 4  1   41.9  53.9  10.48 13.48  RB
69       Michael Pittman Jr.   41.4   2025  28  IND 4  4   41.4  62.4  10.35 15.60  WR
70              Keenan Allen   41.1   2025  33  LAC 4  1   41.1  65.1  10.28 16.28  WR
71              Joshua Karty   41.0   2025  23  LAR 5  0   41.0  41.0   8.20  8.20   K
72                 Joey Slye   41.0   2025  29  TEN 4  0   41.0  41.0  10.25 10.25   K
73          Quinshon Judkins   40.1   2025  22  CLE 3  3   40.1  48.1  13.37 16.03  RB
74          Kenneth Gainwell   39.9   2025  26  PIT 4  1   39.9  52.9   9.98 13.23  RB
75            Jayden Daniels   39.8   2025  25  WAS 2  2   39.8  39.8  19.90 19.90  QB
76              Malik Nabers   39.1   2025  22  NYG 4  4   39.1  57.1   9.78 14.28  WR
77          Justin Jefferson   39.0   2025  26  MIN 4  4   39.0  61.0   9.75 15.25  WR
78               Matt Prater   39.0   2025  41  BUF 4  0   39.0  39.0   9.75  9.75   K
79              Hunter Henry   38.4   2025  31  NWE 4  4   38.4  53.4   9.60 13.35  TE
80             Will Reichard   38.0   2025  24  MIN 4  0   38.0  38.0   9.50  9.50   K
81               Zay Flowers   37.7   2025  25  BAL 4  4   37.7  60.7   9.43 15.18  WR
82              DAndre Swift   37.2   2025  26  CHI 4  4   37.2  50.2   9.30 12.55  RB
83                Jake Bates   37.0   2025  26  DET 4  0   37.0  37.0   9.25  9.25   K
84                  Matt Gay   37.0   2025  31  WAS 4  0   37.0  37.0   9.25  9.25   K
85                Tyler Loop   37.0   2025  24  BAL 4  0   37.0  37.0   9.25  9.25   K
86            Marcus Mariota   36.5   2025  32  WAS 2  2   36.5  36.5  18.25 18.25  QB
87              Carson Wentz   36.5   2025  33  MIN 2  2   36.5  36.5  18.25 18.25  QB
88           Tyquan Thornton   36.2   2025  25  KAN 4  3   36.2  46.2   9.05 11.55  WR
89              Nico Collins   36.0   2025  26  HOU 4  4   36.0  54.0   9.00 13.50  WR
90                 Nick Folk   36.0   2025  41  NYJ 4  0   36.0  36.0   9.00  9.00   K
91                Cam Little   36.0   2025  22  JAX 4  0   36.0  36.0   9.00  9.00   K
92           Brandon McManus   36.0   2025  34  GNB 4  0   36.0  36.0   9.00  9.00   K
93               Chad Ryland   36.0   2025  26  ARI 4  0   36.0  36.0   9.00  9.00   K
94            Dalton Kincaid   35.9   2025  26  BUF 4  2   35.9  49.9   8.98 12.48  TE
95              Tony Pollard   35.6   2025  28  TEN 4  4   35.6  41.6   8.90 10.40  RB
96              Tucker Kraft   34.8   2025  25  GNB 4  4   34.8  50.8   8.70 12.70  TE
97               Breece Hall   34.6   2025  24  NYJ 4  4   34.6  47.6   8.65 11.90  RB
98               Jake Tonges   34.6   2025  26  SFO 5  1   34.6  53.6   6.92 10.72  TE
99              Alvin Kamara   34.5   2025  30  NOR 4  4   34.5  47.5   8.63 11.88  RB
100              Brock Purdy   34.4   2025  26  SFO 2  2   34.4  34.4  17.20 17.20  QB
101          Kaimi Fairbairn   34.0   2025  31  HOU 4  0   34.0  34.0   8.50  8.50   K
102            Jaylen Warren   33.4   2025  27  PIT 3  3   33.4  44.4  11.13 14.80  RB
103             Cairo Santos   33.0   2025  34  CHI 4  0   33.0  33.0   8.25  8.25   K
104              Woody Marks   32.9   2025  25  HOU 4  0   32.9  38.9   8.23  9.73  RB
105             Tyler Warren   32.9   2025  23  IND 4  4   32.9  51.9   8.23 12.98  TE
106      Marvin Harrison Jr.   32.8   2025  23  ARI 4  4   32.8  48.8   8.20 12.20  WR
107              Tyreek Hill   32.5   2025  31  MIA 4  4   32.5  53.5   8.13 13.38  WR
108           Ricky Pearsall   32.3   2025  25  SFO 4  4   32.3  52.3   8.08 13.08  WR
109            Chris Boswell   32.0   2025  34  PIT 4  0   32.0  32.0   8.00  8.00   K
110           Cameron Dicker   32.0   2025  25  LAC 4  0   32.0  32.0   8.00  8.00   K
111             JaMarr Chase   31.3   2025  25  CIN 4  4   31.3  57.3   7.83 14.33  WR
112           Daniel Carlson   31.0   2025  30  LVR 4  0   31.0  31.0   7.75  7.75   K
113            Khalil Shakir   31.0   2025  25  BUF 4  2   31.0  47.0   7.75 11.75  WR
114             Drake London   30.9   2025  24  ATL 4  4   30.9  54.9   7.73 13.73  WR
115   Jacory Croskey-Merritt   30.7   2025  24  WAS 4  0   30.7  33.7   7.68  8.43  RB
116            Jaylen Waddle   30.5   2025  27  MIA 4  4   30.5  47.5   7.63 11.88  WR
117             Jake Elliott   30.0   2025  30  PHI 4  0   30.0  30.0   7.50  7.50   K
118         WanDale Robinson   29.7   2025  24  NYG 4  3   29.7  47.7   7.43 11.93  WR
119             Justice Hill   29.6   2025  28  BAL 4  0   29.6  41.6   7.40 10.40  RB
120               Nick Chubb   29.4   2025  30  HOU 4  4   29.4  36.4   7.35  9.10  RB
121           Dallas Goedert   29.4   2025  30  PHI 3  3   29.4  41.4   9.80 13.80  TE
122             Trey McBride   29.4   2025  26  ARI 4  4   29.4  53.4   7.35 13.35  TE
