<PRE>                                                                                         
                                                                    Fant             Fant
Rk                      Player FantPt Season Age   Team G GS FantPt  PPR FantPt PPR/G Pos
389               Eric Saubert    1.2   2025  31    SEA 4  1    1.2  2.2   0.30  0.55  TE
390               Dareke Young    1.2   2025  26    SEA 3  0    1.2  2.2   0.40  0.73  WR
391                 Skyy Moore    1.1   2025  25    SFO 5  0    1.1  2.1   0.22  0.42  WR
392                Jaylin Noel    1.1   2025  23    HOU 4  0    1.1  4.1   0.28  1.03  WR
393              Samaje Perine    1.1   2025  30    CIN 4  0    1.1  3.1   0.28  0.78  RB
394              Jacob Saylors    1.1   2025  24    DET 4  0    1.1  1.1   0.28  0.28  RB
395          Mitchell Trubisky    1.0   2025  31    BUF 1  0    1.0  1.0   1.00  1.00  QB
396                 Tai Felton    0.9   2025  22    MIN 4  0    0.9  1.9   0.23  0.48  WR
397                 Devin Neal    0.9   2025  22    NOR 1  0    0.9  0.9   0.90  0.90  RB
398              Curtis Samuel    0.9   2025  29    BUF 1  0    0.9  1.9   0.90  1.90  WR
399              David Sills V    0.9   2025  29    ATL 4  0    0.9  1.9   0.23  0.48  WR
400             Connor Heyward    0.8   2025  26    PIT 4  1    0.8  1.8   0.20  0.45  TE
</PRE>

Provided by <a href="https://www.sports-reference.com/sharing.html?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool">Stathead.com</a>: <a href="https://stathead.com/football/player-season-finder.cgi?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool">Found with Stathead. See Full Results.</a><br>Generated 10/3/2025.
